"","mon","th","tl","p","t","RH","declination","Days","hs","Ra","Dl","Rs","Rn","Gi","e.tw","e.ho","e.gs","e.pt","e.pm","e.hs","e.tc","e.mh","e.hm"
"1","01",20.3999996185303,10.5,96.5,15.4499998092651,69.2599185191384,-0.367168560875697,31,1.94099882357466,41.5597791417621,15.0035496134193,18.3070705658818,11.3991233230295,0.0805000066757202,96.8338879334839,77.327460689205,73.4747983483695,83.3900594979343,76.5554706957738,92.2971166294521,74.6382229133713,74.9319487328659,77.5374261627723
"2","02",20.2000007629395,10.3999996185303,69.5,15.3000001907349,69.5170762874268,-0.232489782232707,28.25,1.7954123167792,36.4441769320898,13.8764955562286,15.9723657054178,9.62400671544255,-0.108499979972839,80.7485638962138,69.7836152535073,57.8883777675009,65.1334614130324,62.4837912196703,73.0517201110034,59.9429511093217,59.3849216346477,71.0626501592217
"3","03",18.6000003814697,9.19999980926514,91.1999969482422,13.9000000953674,70.3797257360331,-0.0386464381351894,31,1.60717738927922,28.7950860668252,12.4301447584905,12.3597690750431,6.90650303126428,-0.315000033378601,71.463186287506,69.5696908882742,45.1255144603382,51.412409303397,53.7558357799052,59.4065689651591,50.1242701222072,48.8852913685876,58.4362175311596
"4","04",15.3999996185303,6.19999980926514,79.5,10.7999997138977,70.2870477628305,0.173045434653028,30,1.40561682825752,20.2677021778717,10.8942324976948,8.60649773529312,3.9862220053178,-0.44099999666214,45.9912801991308,52.3104643676706,25.0721746913241,28.2835848604951,35.9972028546825,36.1149634186344,31.2533754502611,30.5461941469991,42.2268833179692
"5","05",12.1000003814697,3.09999990463257,92.3000030517578,7.60000014305115,70.1757285397695,0.333975082620517,31,1.23830498197762,13.9249658020351,9.62945535823871,5.8484857917867,1.86086134940937,-0.384999966621399,28.6004918066026,38.038104825562,14.3498931610771,13.569453605427,25.1313241685388,22.52029104383,19.2558787432463,19.6313587642742,30.4214851659516
"6","06",9.60000038146973,1,65.8000030517578,5.30000019073486,70.9134548873913,0.407332587767235,30,1.1528545260301,11.1560141965189,8.98728990089418,4.58021989849531,0.978556950017195,-0.19950001001358,17.4147004849441,25.6708776361648,9.35706806332954,6.41690131577341,18.2690210078966,15.5210335484898,12.1568566897038,13.8603084430835,24.4275526923399
"7","07",9,0.5,87.1999969482422,4.75,71.1092528923676,0.370960648250002,31,1.19619112432799,12.5157979653918,9.31262962315882,5.10853111032616,1.41134541168011,0.0279999858140945,16.5404570433596,23.7738150684931,10.398576068161,7.6482393042588,19.0080163298243,17.4620880494053,12.4882730187984,15.6911352943799,24.4068718025643
"8","08",10,1.39999997615814,86.5999984741211,5.69999998807907,71.0036981527749,0.231765401204743,31,1.34691832209831,17.92357156734,10.4494328902968,7.35871217011623,3.1219607688079,0.22399998664856,22.6562506160299,28.5285780225274,15.9488510242102,16.5211977305652,25.0357722859889,26.2143351777423,18.7663492594553,23.3065685270935,29.1606231520822
"9","09",12.3999996185303,3.5,66.8000030517578,7.94999980926514,70.5668667014971,0.0316322170719348,30,1.54102539137141,25.9674210294531,11.9246095616749,10.845556701928,5.7443613886427,0.321999997496605,36.0052667390663,38.5063141446571,26.3410611153642,32.0313969896933,35.8571975554851,40.972280059506,31.2756607913706,35.5931778747966,38.5348135312102
"10","10",15,5.59999990463257,82.9000015258789,10.2999999523163,69.5656895862724,-0.177022223933099,31,1.73988833590319,34.2857992568794,13.4486335313281,14.7165578750711,8.61971052429134,0.29400000333786,55.7027811488344,51.5516408572328,42.9223935649378,54.246856049924,52.7706476597197,62.6963538563812,49.3465813521395,53.270528322424,50.5067538147011
"11","11",16.8999996185303,7.40000009536743,89.3000030517578,12.1499998569489,69.6882089628513,-0.337989465561745,30,1.90777356490858,40.466919910029,14.7456471687979,17.4618389042941,10.7511630317341,0.26950001001358,70.8110265332842,58.8492732797257,55.3617297654922,69.2837607106214,63.1978781117837,76.7352994827252,61.067170710589,64.123723375315,62.2042175535026
"12","12",19,9.30000019073486,88.3000030517578,14.1500000953674,69.5494691742715,-0.407907285975046,31,1.98944007008134,43.0718113022959,15.38034515058,18.7804949684389,11.7718583867452,0.23099999666214,90.1656712566711,70.8209443129317,69.6276465730964,82.631274073276,74.4531728027549,90.979782328958,73.0637491252143,74.7034855792755,73.4240357284958
